region_name,province_huc,pop_2015,pop_2020,land_area_sq_km_2013,family_num-2021,avg_fam_inc_2021,avg_fam_exp_2021,fam_income_pc_median-2021,gini_coeff_2021,HH_pop_2020,HH_num_2020,ATM_onsite_num_2021,ATM_offsite_num-2021,ATM_total_num_2021,deposit_demand_2021_mmpeso,deposit_savings_2021_mmpeso,deposit_time_2021_mmpeso,deposit_other_2021_mmpeso
NCR,NCR1,"1,780,148","1,846,513",24.98,"494,000","413,680","362,270"," 18,312.17 ",0.3085,1837785,486293,698,494,"1,192","525,508.058","739,246.342","360,720.233",748.030
NCR,NCR2,"4,650,613","4,771,371",256.93,"1,215,000","473,616","379,588"," 5,413.22 ",,9777617,2460586,"1,932","1,383","3,315","1,004,568.043","1,780,446.059","690,071.734","15,004.580"
NCR,NCR3,"2,819,388","3,004,627",127.47,"710,000","345,793","253,748"," 4,038.88 ",,2998412,754685,334,245,579,"131,763.047","202,098.332","69,283.355",121.140
NCR,NCR4,"3,627,104","3,861,951",210.16,1095000,428648.5714,319842.8571,5623.53,,3818429,1054167,1762,1472,3234,1196670.585,2089114.346,1660586.446,176616.9984
CAR,Abra,"241,160","250,985","4,199.72","58,000","264,590","183,160"," 1,119.67 ",0.4037,250309,58956,34,30,64,"7,618.527","6,849.309",338.027,3.191
CAR,Apayao,"119,184","124,366","4,502.33","28,000","307,150","185,750", 639.17 ,0.3813,123937,28862,2,9,11,"3,366.228","1,108.002",4.611,0.000
CAR,Benguet ***,"446,224","460,683","2,769.08","128,000","324,490","241,310"," 3,041.63 ",0.4004,459468,116692,28,11,39,"6,236.462","15,490.053","1,172.862",4.950
CAR,City of Baguio **,"345,366","366,358",57.51,"103,000","454,470","310,520"," 3,599.15 ",0.3788,363151,100220,103,110,213,"19,522.927","62,777.228","12,201.850",26.483
CAR,Ifugao,"202,802","207,498","2,618.01","47,000","329,240","211,210"," 1,124.40 ",0.4086,207130,48756,7,7,14,"3,378.061","2,322.598",88.677,0.000
CAR,Kalinga,"212,680","229,570","3,282.04","46,000","409,660","286,910"," 1,187.68 ",0.4386,229328,48079,9,7,16,"3,986.568","3,676.536",94.717,0.000
CAR,Mountain Province,"154,590","158,200","2,389.43","38,000","274,430","185,110", 770.00 ,0.4180,157798,37601,7,4,11,"2,263.491","3,898.216",269.503,0.000
REGION I,Ilocos Norte,"593,081","609,588","3,418.75","152,000","364,800","234,970"," 4,341.26 ",0.3537,157798,37601,57,58,115,"16,479.374","28,483.357","4,012.564",8.416
REGION I,Ilocos Sur,"689,668","706,009","2,596.00","170,000","317,510","205,860"," 3,908.27 ",0.4196,704218,172048,73,40,113,"26,400.157","35,324.357","4,287.231",6.418
REGION I,La Union,"786,653","822,352","1,499.28","201,000","326,650","226,720"," 4,559.00 ",0.4213,820343,205034,77,77,154,"17,330.585","31,021.112","5,493.485",12.508
