region_name,Gini_coeff,GDP_percap_current_prices,ATM_universal,ATM_thrift,ATM_rural,Population,Land_area,MICRO_est,SMALL_est,MEDIUM_est,total_MSMEs,LARGE_est,MICRO_emp,SMALL_emp,MEDIUM_emp,MSMEs_emp,LARGE_emp,HH_number,HH_pop,Median_family_income,HH_refrigerator,HH_stove,HH_microwave,HH_washer,HH_air_conditioning,HH_fan_cooling,HH_radio,HH_television,HH_disc_player,HH_audio_equipment,HH_landline_phone,HH_mobile_phone,HH_tablet,HH_personal_computer,HH_motor_vehicle,HH_motorcycle,HH_bicycle,HH_motor_boat,HH_nonmotor_boat,HH_with_internet,HH_wired_BB,HH_wireless_bb,HH_satellite_bb,hh_mobile_bb,HH_use_internet_home,HH_use_internet_work,HH_use_internet_school,HH_use_internet_otherhome,HH_use_internet_public_place,HH_use_internet_cafe,HH_use_internet_private_est,HH_use_internet_in_mobility
NCR,0.3259,"440,885","7,774",520,26,"13,484,462",619.54,"170,146","26,896","1,610","198,652","1,902","504,393","648,842","219,172","1,372,407","1,396,905",3499652,13403551,125436.46,"2,059,241","1,824,794","690,984","2,219,881","1,023,385","3,216,756","1,131,973","2,934,890","1,128,835","717,094","639,867","2,821,104","1,274,785","1,073,449","571,006","863,723","511,883","82,248","42,262","2,605,190","1,046,757","235,209","113,589","1,775,175","2,707,672","1,361,832","774,461","225,276","222,490","104,454","163,541","1,175,721"
CAR,0.4191,"177,693",297,11,10,"1,797,660","19,818.12","21,195","1,270",28,"22,493",47,"50,757","25,968","3,802","80,527","25,976",439166,1791121,11470.47,"212,510","128,936","52,705","216,642","11,180","178,631","204,224","323,819","84,640","45,321","34,710","389,092","82,865","117,394","75,844","133,520","22,302","1,857","2,733","275,777","63,094","13,700","5,059","223,513","275,840","91,149","78,625","19,776","28,969","8,928","12,258","75,419"
REGION I,0.4015,"121,231",671,83,51,5301139,12964.62,"54,207","3,615",107,"57,929",60,"145,676","76,573","14,377","236,626","21,047",1306256,5292297,28978.88,"713,213","475,532","132,461","621,478","190,592","1,190,353","661,251","1,108,221","204,820","141,159","88,980","1,132,000","242,116","246,569","153,233","695,632","271,146","20,166","17,498","725,144","167,812","48,045","27,721","562,886","762,804","217,956","184,245","64,276","56,713","22,645","28,887","256,994"
REGION II,0.4201,"108,294",427,39,43,3685744,29836.88,"30,947","2,034",57,"33,038",34,"84,704","42,128","7,274","134,106","15,717",907472,3679748,18245.72,"388,949","333,403","78,638","423,151","101,306","772,544","420,188","707,883","164,893","126,385","54,629","768,334","154,733","168,105","109,342","521,710","150,255","12,079","11,000","495,485","94,247","30,481","22,359","400,513","510,009","129,184","122,780","38,479","35,868","9,271","16,027","156,559"
REGION III,0.3619,"164,804","1,938",230,74,12422172,21906.19,"127,333","9,925",419,"137,677",355,"348,304","221,224","56,091","625,619","229,842",3040488,12387811,80694.12,"1,620,234","1,611,839","464,579","1,993,071","766,955","2,811,027","1,124,828","2,659,540","634,803","485,443","284,517","2,649,982","682,875","686,296","448,883","1,576,648","534,326","55,954","46,347","1,893,735","560,245","153,895","80,409","1,314,085","1,875,929","651,612","506,132","158,471","136,480","54,840","76,944","567,752"
REGION IV,0.3773,"170,281","2,984",332,106,16195042,16576.26,"146,034","12,671",672,"159,377",728,"405,607","295,017","91,444","792,068","501,764",4062720,16139770,118461.02,"2,432,359","1,893,776","691,865","2,522,761","870,839","3,763,663","1,500,273","3,518,098","1,021,414","804,970","620,627","3,658,076","987,447","1,078,424","660,597","1,539,656","544,658","63,612","58,203","2,849,422","927,771","212,177","101,901","1,984,939","2,898,662","1,132,055","781,147","190,641","163,246","72,495","98,848","1,204,716"
MIMAROPA,0.4193,"119,142",291,37,23,3228558,29606.25,"21,562","1,659",42,"23,263",22,"59,753","34,826","5,526","100,105","9,222",792875,3212287,14221.78,"236,455","169,789","44,705","283,187","54,680","540,238","207,506","493,789","115,877","105,679","23,453","631,383","85,098","108,991","45,092","380,171","83,699","57,805","27,138","412,750","38,110","15,709","16,535","373,643","419,871","97,871","100,000","27,260","37,938","7,927","14,731","178,975"
REGION V,0.41,"91,175",593,80,46,6082165,18114.47,"41,885","3,228",121,"45,234",78,"115,678","68,369","16,472","200,519","29,191",895899,3862588,23919.28,"402,997","372,612","91,421","380,416","114,297","1,053,997","718,031","946,089","271,784","183,566","54,707","1,098,887","173,934","200,986","82,379","505,320","167,883","53,939","32,899","666,714","116,979","35,125","27,890","543,808","659,212","158,286","160,120","54,852","56,780","33,303","25,182","256,247"
REGION VI,0.4283,"117,559",960,102,89,7954723,20778.29,"67,598","5,662",255,"73,515",200,"192,055","120,827","34,606","347,488","98,472",1365044,6067290,22002.47,"781,785","453,386","150,458","476,647","216,451","1,483,767","1,043,365","1,389,986","495,039","289,901","139,641","1,545,742","279,964","284,511","174,340","719,574","158,354","50,277","32,510","994,105","174,267","57,061","43,368","829,867","955,394","277,992","216,602","71,646","94,361","45,892","47,011","401,486"
REGION VII,0.4344,"153,669","1,523",203,40,8081988,15872.58,"69,488","7,798",412,"77,698",496,"197,017","180,641","55,410","433,068","339,048",1939989,7935531,34441.05,"800,734","609,890","172,397","443,053","290,234","1,390,958","988,769","1,340,993","637,523","404,333","210,802","1,593,095","301,763","350,761","211,805","850,255","228,644","50,820","44,687","1,004,341","230,272","74,800","51,917","792,294","1,003,385","303,122","210,193","87,836","101,603","68,605","51,982","482,016"
